CMUN,POP21
14026,2424
14027,9667
14901,1133
14028,337
14029,4505
14030,9803
14031,676
14032,432
14033,1562
14902,1365
14034,349
14035,6684
14036,4517
14037,4106
14038,42712
14039,2945
14040,4517
14041,3851
14042,22633
14043,9231
14044,1948
14045,3721
14046,5341
14047,2025
14048,1463
14049,20910
14050,2808
14051,1491
14052,10508
14053,7296
14054,17156
14055,22251
14056,29767
14057,7515
14058,9835
14059,829
14061,747
14060,4611
14062,1020
14063,1098
14064,346
14065,2336
14066,7016
14067,4897
14068,640
14069,8662
14070,1451
14071,997
14072,1102
14073,3191
14074,2537
14075,634
15001,5494
15002,31993
15003,1833
15004,5997
15005,32894
15006,5964
15007,3389
15008,6817
15009,13030
15010,1943
15011,18955
15012,4186
15013,7957
15014,4185
15015,3359
15016,5224
15017,24616
15018,1242
15019,31414
15901,3763
15020,3854
15021,6574
15022,6650
15023,7568
15024,4996
15025,1075
15027,1873
15028,1606
15029,5878
15030,245468
15031,30758
15032,4081
15033,2710
15034,2927
15035,12832
15036,64785
15037,4714
15038,2306
15039,1340
15041,11521
15040,3004
15042,3235
15043,5332
15044,1309
15045,3806
15046,7427
15047,2479
15048,6423
15049,1200
15050,1908
15051,5226
15053,8399
15052,4564
15054,38913
15055,5032
15056,6775
15057,14240
15058,36922
15059,12605
15060,7530
15061,5485
15062,6150
15902,5170
15064,2393
15065,8317
15066,4639
15067,9291
15068,5457
15069,7687
15070,10032
15071,9155
15072,11004
15073,26839
15074,4493
15075,16382
15076,2812
15077,9359
15078,97858
15079,1529
15080,1778
15081,1076
15082,18778
15083,1101
15084,3228
15085,3495
15086,3059
15088,3816
15087,6872
15089,5032
15091,1219
15090,1219
15092,6925
15093,4384
16001,57
16002,227
16003,151
16004,236
16005,256
16006,122
16007,1581
16008,85
16009,48
16010,128
16011,29
16012,86
16013,24
16014,644
16015,414
16016,234
16017,383
16018,440
16019,200
16020,7
16905,1867
16022,73
16024,135
16025,20
16026,103
16027,1005
16029,94
16030,20
16031,38
